;shortname;fullname;category
86;EEEFMMONSENHORELIASTOMASI_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32055838_5982_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
87;EEEFMMONSENHORELIASTOMASI_2ªN02-EJA-EM_2ª ETAPA_PIPAT_INEP32055838_6207_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
88;EEEFMMONSENHORELIASTOMASI_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32055838_6389_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
89;EEEFMMONSENHORELIASTOMASI_3ªN02-EJA-EM_3ª ETAPA_PIPAT_INEP32055838_6529_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
90;EEEFMMONSENHORELIASTOMASI_5ªN01-EJA-EF_5ª ETAPA_PIPAT_INEP32055838_1258_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
91;EEEFMMONSENHORELIASTOMASI_6ªN01-EJA-EF_6ª ETAPA_PIPAT_INEP32055838_1881_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
92;EEEFMMONSENHORELIASTOMASI_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32055838_2482_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
93;EEEFMMONSENHORELIASTOMASI_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32055838_5005_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
94;CEEFMTISENADORDIRCEUCARDOSO_1ªN01-EJA-EP-AAD_1ª ETAPA_PIPAT_INEP32057504_3315_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
95;CEEFMTISENADORDIRCEUCARDOSO_1ªN02-EJA-EP-ADC_1ª ETAPA_PIPAT_INEP32057504_7208_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
96;EEEFMMARCONDESDESOUZA_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32057474_3882_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
97;EEEFMMARCONDESDESOUZA_2ªN01-EJA-EM_2ª ETAPA_PIPAT_INEP32057474_4364_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
98;EEEFMMARCONDESDESOUZA_3ªN01-EJA-EM_3ª ETAPA_PIPAT_INEP32057474_4815_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
99;EEEFMMARCONDESDESOUZA_5ªN01-EJA-EF_5ª ETAPA_PIPAT_INEP32057474_957_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
100;EEEFMMARCONDESDESOUZA_6ªN01-EJA-EF_6ª ETAPA_PIPAT_INEP32057474_1577_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
101;EEEFMMARCONDESDESOUZA_7ªN01-EJA-EF_7ª ETAPA_PIPAT_INEP32057474_2202_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
102;EEEFMMARCONDESDESOUZA_8ªN01-EJA-EF_8ª ETAPA_PIPAT_INEP32057474_2780_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
103;EEEFMPRESIDENTEKENNEDY_1ªN01-EJA-EM_1ª ETAPA_PIPAT_INEP32060920_2524_2024/1;PROJETO INTEGRADOR DE PESQUISA E ARTICULAÇÃO COM O TERRITÓRIO;6622
